date,sentiment_corporate,sentiment_energy,sentiment_forex,sentiment_macro,news_count
2010-08-25,-0.933,-0.0745,-0.0162,-0.0007,1
2010-08-26,-0.6531,-0.1049,-0.0129,-0.0006,3
2010-08-27,-0.0262,0.252,-0.0103,0.0934,6
2010-08-28,-0.0183,0.1764,-0.5015,0.0794,1
2010-08-29,-0.0128,-0.929,-0.4012,0.0675,1
2010-08-30,-0.009,-0.6503,-0.321,0.0574,0
2010-08-31,-0.0063,-0.6799,-0.2568,0.0488,1
2010-09-01,-0.0044,-0.4759,-0.2054,0.0414,0
2010-09-02,-0.9408,-0.3332,-0.1643,0.0352,2
2010-09-03,-0.0472,-0.8575,-0.1315,0.0299,3
2010-09-04,-0.0331,-0.6002,-0.1052,0.0255,0
2010-09-05,-0.0232,-0.938,-0.0841,0.0216,2
2010-09-06,-0.913,-0.6566,-0.0673,0.0184,1
2010-09-07,0.043,-0.4596,-0.0538,0.0156,1
2010-09-08,-0.9284,0.1065,-0.0431,0.0133,2
2010-09-09,-0.6499,0.0745,-0.0345,0.0113,0
2010-09-10,-0.9642,0.0522,-0.5045,0.0096,3
2010-09-11,-0.6749,0.0365,-0.4036,0.0082,0
2010-09-12,-0.4724,0.0256,-0.3229,0.0069,0
2010-09-13,-0.3307,0.0179,-0.2583,0.0059,0
2010-09-14,0.8982,0.0125,-0.2066,0.005,1
2010-09-15,0.6287,0.0088,-0.1653,0.0043,0
2010-09-16,0.4401,0.1102,-0.1323,0.0036,2
2010-09-17,-0.3777,0.0771,0.6382,0.0031,2
2010-09-18,-0.2644,0.054,0.0636,0.0026,1
2010-09-19,-0.1851,0.0398,0.0509,0.0022,1
2010-09-20,-0.0442,0.1164,-0.1022,0.0019,3
2010-09-21,-0.0309,0.0815,-0.0818,0.0016,0
2010-09-22,-0.0217,-0.9033,0.9021,0.0014,2
2010-09-23,-0.0152,-0.6323,0.0066,0.0012,1
2010-09-24,-0.0106,-0.4426,0.0053,0.001,0
2010-09-25,-0.0074,-0.3098,0.0042,0.0008,0
2010-09-26,-0.0052,-0.2169,0.0034,0.0007,0
2010-09-27,-0.0036,0.0695,-0.9575,0.0006,2
2010-09-28,-0.0025,0.873,-0.766,0.0005,2
2010-09-29,-0.0018,0.6111,0.7323,0.0664,2
2010-09-30,0.7366,0.9104,-0.9548,0.0564,3
2010-10-01,-0.5146,0.6373,-0.7638,0.048,3
2010-10-02,-0.3602,0.4461,-0.6111,0.0408,0
2010-10-03,-0.2522,0.3123,-0.4889,0.0347,0
2010-10-04,-0.6461,0.2186,-0.9365,-0.5474,3
