date,sentiment_corporate,has_corporate,sentiment_energy,has_energy,sentiment_forex,has_forex,sentiment_macro,has_macro,news_count
2010-10-18,-0.0031,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2010-10-20,0.0,0.0,0.0,0.0,0.0,0.0,-0.2821,1.0,1
2010-10-21,0.7097,1.0,0.802,1.0,0.0,0.0,0.4248,1.0,3
2010-10-22,0.0,0.0,0.0147,1.0,0.0,0.0,0.0,0.0,2
2010-10-23,0.0,0.0,-0.206375,1.0,0.0,0.0,0.0,0.0,4
2010-10-24,0.0,0.0,0.0773,1.0,0.0,0.0,0.0,0.0,1
2010-10-25,0.8592,1.0,-0.42905000000000004,1.0,0.0,0.0,0.0,0.0,3
2010-10-26,0.0,0.0,-0.17426666666666665,1.0,0.0,0.0,0.0,0.0,3
2010-10-27,0.0,0.0,-0.9358,1.0,0.0,0.0,-0.3531,1.0,3
2010-10-28,0.0,0.0,0.0079,1.0,0.0,0.0,0.0,0.0,1
2010-10-29,0.0,0.0,-0.2411333333333333,1.0,0.0,0.0,-0.0282,1.0,4
2010-10-30,0.0144,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2010-10-31,0.3764,1.0,0.1294,1.0,0.0,0.0,-0.0816,1.0,3
2010-11-01,0.8103,1.0,-0.1666,1.0,0.0,0.0,0.0223,1.0,4
2010-11-02,0.0,0.0,-0.14794000000000002,1.0,0.0,0.0,0.5423,1.0,6
2010-11-03,0.0,0.0,-0.7708,1.0,0.0,0.0,-0.3173,1.0,4
2010-11-04,0.0,0.0,0.0664,1.0,0.0,0.0,0.11805,1.0,3
2010-11-05,0.0,0.0,-0.2127,1.0,0.0,0.0,0.0496,1.0,2
2010-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.4764,1.0,2
2010-11-08,0.0,0.0,0.40075000000000005,1.0,0.0,0.0,0.0,0.0,2
2010-11-10,0.0,0.0,-0.38185,1.0,0.0,0.0,0.0,0.0,2
2010-11-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.9075,1.0,1
2010-11-13,0.0,0.0,0.6897,1.0,0.0,0.0,0.0,0.0,1
2010-11-15,0.0,0.0,0.1171,1.0,0.0,0.0,0.0411,1.0,2
2010-11-16,0.8063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2010-11-17,-0.6499,1.0,0.0,0.0,0.0,0.0,0.11875,1.0,3
2010-11-20,0.0,0.0,0.21915,1.0,0.0,0.0,0.0,0.0,2
2010-11-21,0.0,0.0,0.0,0.0,0.0,0.0,-0.1234,1.0,1
2010-11-22,0.0,0.0,0.7775,1.0,0.0,0.0,0.7886,1.0,2
2010-11-23,0.0,0.0,0.9155,1.0,0.0,0.0,0.0,0.0,1
2010-11-24,0.0,0.0,0.0,0.0,0.0,0.0,-0.39625,1.0,2
2010-11-25,0.0,0.0,0.8832,1.0,0.0,0.0,0.0,0.0,1
2010-11-26,0.0,0.0,0.16344999999999998,1.0,0.0,0.0,0.0,0.0,2
2010-11-27,-0.8981,1.0,0.04485,1.0,0.0,0.0,-0.8011,1.0,4
2010-11-29,-0.2097,1.0,-0.9414,1.0,0.0,0.0,0.3215,1.0,4
2010-11-30,0.57325,1.0,-0.0519,1.0,0.0,0.0,-0.6563,1.0,5
2010-12-01,0.0,0.0,-0.8641,1.0,0.0,0.0,-0.62245,1.0,3
2010-12-02,0.2559,1.0,-0.214225,1.0,0.0,0.0,-0.3957,1.0,6
2010-12-03,0.7017,1.0,0.0,0.0,0.0,0.0,0.40714999999999996,1.0,3
2010-12-04,0.0,0.0,0.29259999999999997,1.0,0.0,0.0,0.0,0.0,2
2010-12-05,0.5136000000000001,1.0,0.2247,1.0,0.0,0.0,0.0,0.0,3
2010-12-06,0.0,0.0,-0.0062,1.0,0.0,0.0,0.0,0.0,1
2010-12-07,0.0,0.0,0.27499999999999997,1.0,0.0,0.0,0.0,0.0,6
2010-12-08,0.46415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2010-12-09,0.0,0.0,0.39459999999999995,1.0,0.0,0.0,-0.2748,1.0,3
2010-12-10,0.0533,1.0,0.0,0.0,0.0,0.0,-0.7351,1.0,3
2010-12-11,0.5201,1.0,-0.38739999999999997,1.0,0.0,0.0,0.0,0.0,5
2010-12-12,0.0,0.0,0.6795,1.0,0.0,0.0,0.0,0.0,1
2010-12-13,0.0,0.0,-0.18445,1.0,0.0,0.0,0.0,0.0,2
2010-12-14,0.7501,1.0,-0.4755,1.0,0.0,0.0,-0.753,1.0,4
2010-12-15,0.0,0.0,-0.09687500000000002,1.0,0.0,0.0,0.0,0.0,4
2010-12-16,0.0,0.0,0.1696,1.0,0.0,0.0,0.0,0.0,1
2010-12-17,0.0,0.0,0.7685,1.0,0.0,0.0,0.0,0.0,1
2010-12-19,-0.1605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
