date,sentiment_score,article_count,positive_count,negative_count,neutral_count,sentiment_label,macro_pakistan_score,psx_market_score,energy_oil_score,banking_finance_score,geopolitical_global_score,political_stability_score,pakistani_media_score,international_media_pakistan_score,psx_official_corporate_score,sector_specific_score
2010-05-25,-0.0247,1,0,0,1,neutral,0.0167,0.0,-0.0181,0.0288,0.0,0.0,0.067825,-0.0247,0.0,0.0
2010-05-26,0.0263,4,0,0,4,neutral,0.0167,0.0,-0.0181,0.0288,0.0,0.0,0.03306666666666667,0.006,0.0,0.0
2010-05-27,0.0263,0,0,0,0,neutral,0.0167,0.0,-0.0181,0.0288,0.0,0.0,0.03306666666666667,0.006,0.0,0.0
2010-05-28,-0.23809999999999998,2,0,1,1,negative,0.0167,0.0,-0.0181,0.0288,0.0,0.0,0.03306666666666667,-0.23809999999999998,0.0,0.0
2010-05-29,-0.23809999999999998,0,0,0,0,negative,0.0167,0.0,-0.0181,0.0288,0.0,0.0,0.03306666666666667,-0.23809999999999998,0.0,0.0
2010-05-30,-0.23809999999999998,0,0,0,0,negative,0.0167,0.0,-0.0181,0.0288,0.0,0.0,0.03306666666666667,-0.23809999999999998,0.0,0.0
2010-05-31,-0.34526,5,0,2,3,neutral,0.0167,0.0,-0.0181,0.0288,0.0,0.0,-0.28205,-0.5981,0.0,0.0
2010-06-01,0.012699999999999993,4,1,1,2,neutral,0.0167,0.039,0.7922,0.0288,0.0,0.0,-0.28205,-0.39020000000000005,0.0,0.0
2010-06-02,0.012699999999999993,0,0,0,0,neutral,0.0167,0.039,0.7922,0.0288,0.0,0.0,-0.28205,-0.39020000000000005,0.0,0.0
2010-06-03,0.012699999999999993,0,0,0,0,neutral,0.0167,0.039,0.7922,0.0288,0.0,0.0,-0.28205,-0.39020000000000005,0.0,0.0
2010-06-04,0.012699999999999993,0,0,0,0,neutral,0.0167,0.039,0.7922,0.0288,0.0,0.0,-0.28205,-0.39020000000000005,0.0,0.0
2010-06-05,0.012699999999999993,0,0,0,0,neutral,0.0167,0.039,0.7922,0.0288,0.0,0.0,-0.28205,-0.39020000000000005,0.0,0.0
2010-06-06,0.012699999999999993,0,0,0,0,neutral,0.0167,0.039,0.7922,0.0288,0.0,0.0,-0.28205,-0.39020000000000005,0.0,0.0
2010-06-07,0.3792,4,2,0,2,positive,0.0392,0.039,0.7922,0.0288,0.0,0.0,0.4925333333333333,-0.39020000000000005,0.0,0.0
2010-06-08,0.0323,1,0,0,1,neutral,0.0392,0.039,0.0323,0.0288,0.0,0.0,0.4925333333333333,-0.39020000000000005,0.0,0.0
2010-06-09,0.022033333333333332,3,0,0,3,neutral,0.0392,0.039,0.0323,0.0288,0.0,0.0,0.0838,-0.00885,0.0,0.0
2010-06-10,0.022033333333333332,0,0,0,0,neutral,0.0392,0.039,0.0323,0.0288,0.0,0.0,0.0838,-0.00885,0.0,0.0
2010-06-11,0.022033333333333332,0,0,0,0,neutral,0.0392,0.039,0.0323,0.0288,0.0,0.0,0.0838,-0.00885,0.0,0.0
2010-06-12,0.022033333333333332,0,0,0,0,neutral,0.0392,0.039,0.0323,0.0288,0.0,0.0,0.0838,-0.00885,0.0,0.0
2010-06-13,0.022033333333333332,0,0,0,0,neutral,0.0392,0.039,0.0323,0.0288,0.0,0.0,0.0838,-0.00885,0.0,0.0
2010-06-14,0.045475,4,0,0,4,neutral,0.0392,0.039,0.0323,0.2093,0.0,0.0,-0.009133333333333332,-0.00885,0.0,0.0
2010-06-15,-0.7044,1,0,1,0,negative,0.0392,0.039,0.0323,0.2093,0.0,0.0,-0.009133333333333332,-0.7044,0.0,0.0
2010-06-16,-0.2939333333333333,3,0,1,2,neutral,0.0392,0.039,0.0323,0.2093,0.0,0.0,-0.8916,0.0049,0.0,0.0
2010-06-17,-0.2939333333333333,0,0,0,0,neutral,0.0392,0.039,0.0323,0.2093,0.0,0.0,-0.8916,0.0049,0.0,0.0
2010-06-18,-0.2939333333333333,0,0,0,0,neutral,0.0392,0.039,0.0323,0.2093,0.0,0.0,-0.8916,0.0049,0.0,0.0
2010-06-19,-0.2939333333333333,0,0,0,0,neutral,0.0392,0.039,0.0323,0.2093,0.0,0.0,-0.8916,0.0049,0.0,0.0
2010-06-20,-0.2939333333333333,0,0,0,0,neutral,0.0392,0.039,0.0323,0.2093,0.0,0.0,-0.8916,0.0049,0.0,0.0
2010-06-21,0.0509,2,0,0,2,neutral,0.0392,0.039,0.0323,0.0395,0.0,0.0,-0.8916,0.0623,0.0,0.0
2010-06-22,0.038175,4,0,0,4,neutral,0.0397,0.039,0.0209,0.0395,0.0,0.0,0.1343,-0.0422,0.0,0.0
2010-06-23,0.04086000000000001,5,0,0,5,neutral,0.0397,0.039,0.0209,0.0395,0.0,0.0,0.3062,-0.025475,0.0,0.0
